 Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26
89,80,77,79,83,84,79,77,81,90
89,80,77,79,83,83,78,77,81,90
88,79,76,78,83,83,79,77,80,88
88,79,76,78,83,83,78,77,80,88
88,79,77,78,83,83,78,77,80,88
88,79,76,78,83,83,78,77,79,88
88,79,76,78,83,83,78,77,79,87
88,79,76,78,83,83,78,77,79,88
88,79,76,78,83,83,78,76,79,88
87,78,76,78,83,83,78,76,78,87
88,79,76,78,83,83,78,76,79,88
88,79,76,78,83,83,78,76,79,88
88,79,76,78,83,83,78,76,78,87
87,78,76,78,83,83,78,76,78,87
88,79,76,78,83,83,78,76,78,87
87,78,76,78,83,83,78,76,79,87
87,78,76,78,83,83,78,76,78,87
88,78,76,78,83,83,78,76,79,88
88,78,76,78,83,83,78,76,79,88
87,78,76,78,83,83,78,76,79,87
87,79,76,78,83,83,78,76,79,87
88,79,76,78,83,83,78,77,80,89
88,79,76,78,83,83,78,76,79,87
88,79,76,78,83,83,78,76,79,89
88,79,76,78,83,83,78,76,79,88
87,79,76,78,83,83,78,76,79,88
89,79,76,79,83,83,78,76,80,89
87,79,76,79,83,83,78,76,79,88
88,79,76,78,83,83,78,76,79,88
88,79,76,78,83,83,79,77,79,88
87,79,76,78,83,83,78,76,79,88
88,79,76,79,83,83,78,77,80,88
88,79,76,78,83,83,78,76,79,88
87,79,76,78,83,83,78,76,79,88
