 X17, X18, X19, X20, X21, X22, X23, X24, X25, X26
69,76,87,98,108,128,138,149,159,165
68,76,86,98,108,127,137,148,158,164
70,79,93,106,120,138,150,163,175,184
70,79,92,106,120,137,150,162,175,183
70,79,93,106,120,137,150,163,175,184
70,79,92,106,119,138,150,163,175,183
70,79,93,107,120,138,150,163,175,184
69,79,93,106,120,138,151,163,176,184
70,79,93,106,120,139,151,163,175,183
70,79,93,107,120,138,150,163,175,184
70,79,93,106,120,139,151,163,175,183
71,80,94,107,120,139,150,162,174,183
70,80,93,106,119,138,150,162,174,183
71,80,93,106,119,138,150,162,174,182
71,80,93,106,119,138,150,162,174,182
70,79,92,106,119,137,149,162,173,181
70,79,92,106,120,137,149,162,174,182
71,80,93,106,119,137,149,162,174,181
71,79,92,106,119,138,149,162,174,181
71,80,92,106,119,138,150,162,174,181
70,79,92,106,119,137,149,161,173,181
70,79,92,106,119,138,150,162,174,182
71,80,93,107,120,138,149,161,173,181
71,80,93,107,120,137,149,161,172,180
70,79,93,106,119,139,150,163,174,182
70,79,92,106,119,138,150,162,174,182
69,78,92,106,119,138,150,163,174,182
70,79,92,106,119,138,150,163,175,183
70,79,92,106,119,138,150,162,174,183
69,78,92,106,119,137,150,163,175,183
69,78,92,106,119,138,150,163,175,183
69,78,92,106,119,138,150,163,175,183
70,79,92,106,120,138,150,163,175,184
69,79,92,106,120,138,150,163,175,184
69,78,92,106,119,138,150,163,175,183
70,79,92,106,120,138,151,163,176,184
70,79,92,106,119,138,151,163,176,184
70,79,93,106,120,138,151,163,176,184
70,79,92,106,119,138,150,163,175,184
70,80,93,107,120,138,150,162,174,183
70,79,92,106,119,138,151,163,176,184
70,79,93,106,120,138,151,163,175,184
70,79,92,106,119,138,151,163,176,184
70,79,92,106,119,139,151,164,176,184
71,80,93,106,119,139,151,163,175,182
71,79,92,106,119,139,150,163,175,182
71,80,93,107,121,138,150,162,174,182
71,80,93,107,120,138,150,163,175,183
70,80,93,106,119,139,150,162,174,182
71,80,93,107,120,138,150,162,174,182
71,80,93,107,119,139,151,163,174,182
71,80,94,107,120,138,150,162,174,182
71,80,94,107,120,138,150,162,174,182
72,81,94,108,121,138,150,162,174,181
73,82,95,108,120,138,149,161,173,180
73,82,95,108,121,138,149,162,173,181
73,82,94,108,120,138,150,162,174,181
73,82,95,108,120,138,150,161,173,180
72,81,94,108,120,138,150,162,174,181
71,81,94,107,120,139,151,163,175,183
71,81,94,107,120,139,150,163,174,182
71,80,94,107,120,138,150,163,175,183
71,80,93,107,120,138,150,162,175,183
70,79,93,107,120,138,150,163,175,183
70,80,93,107,120,138,150,163,175,184
70,79,93,107,120,137,150,163,175,183
70,79,93,107,120,138,150,163,175,184
70,80,93,107,120,138,150,163,176,184
70,79,93,107,120,138,150,163,175,184
71,80,93,107,120,138,150,163,175,183
71,80,93,106,120,138,150,163,175,183
70,80,93,107,120,138,150,163,175,183
70,79,93,107,120,138,150,163,175,184
71,80,93,107,120,138,150,163,176,184
70,79,93,106,120,137,150,163,175,184
70,79,93,107,120,138,150,163,175,184
71,80,93,107,120,138,150,163,175,183
70,79,93,106,119,138,150,163,175,184
71,80,93,106,119,138,150,162,174,182
71,80,93,106,119,138,150,162,174,182
71,79,92,106,119,138,150,162,174,181
71,81,94,107,120,138,150,162,174,182
70,79,93,106,120,138,150,162,174,182
70,80,93,107,120,138,150,162,174,182
71,80,93,107,120,138,150,162,174,181
71,80,93,106,119,138,150,162,174,182
72,81,93,107,120,138,150,162,174,182
71,80,93,107,120,138,150,163,174,182
72,81,94,107,120,138,150,162,174,181
73,82,94,108,120,138,150,162,174,182
71,80,94,107,120,138,150,162,175,183
71,81,94,107,120,138,150,162,174,182
71,80,94,107,120,138,150,162,174,182
71,80,93,107,119,138,150,162,174,182
71,80,94,107,120,138,150,162,174,182
71,80,93,107,120,138,150,163,174,182
71,80,94,107,120,139,151,163,175,184
70,80,93,107,120,138,150,163,175,184
70,80,93,107,120,138,151,163,175,184
70,80,94,107,120,138,151,163,175,184
70,80,93,107,120,138,150,163,175,183
71,81,94,108,120,138,150,163,175,183
